Date,ZIP Code,Model Year,Fuel,Make,Duty,Vehicles,ZIP,latitude,longitude
12/31/2023,90505,2017,Battery Electric,OTHER/UNK,Light,29,90505,33.8090206,-118.3477571
12/31/2023,90042,2016,Battery Electric,OTHER/UNK,Light,12,90042,34.1147494,-118.1919645
12/31/2023,90068,2023,Battery Electric,OTHER/UNK,Light,136,90068,34.1279717,-118.3290444
12/31/2023,90024,2023,Battery Electric,OTHER/UNK,Light,107,90024,34.0656447,-118.4352837
12/31/2023,91203,2022,Battery Electric,OTHER/UNK,Light,40,91203,34.1529081,-118.2635168
12/31/2023,90068,2022,Battery Electric,OTHER/UNK,Light,77,90068,34.1279717,-118.3290444
12/31/2023,90640,2023,Battery Electric,OTHER/UNK,Light,126,90640,34.0150099,-118.1110508
12/31/2023,90039,2022,Battery Electric,OTHER/UNK,Light,77,90039,34.1124562,-118.261548
12/31/2023,90260,2023,Battery Electric,OTHER/UNK,Light,66,90260,33.8876659,-118.3495258
12/31/2023,91706,2022,Battery Electric,OTHER/UNK,Light,43,91706,34.096216,-117.9686189
12/31/2023,91401,2023,Battery Electric,OTHER/UNK,Light,65,91401,34.178044,-118.4318859
12/31/2023,90064,2022,Battery Electric,OTHER/UNK,Light,91,90064,34.0358208,-118.4265006
12/31/2023,90066,2022,Battery Electric,OTHER/UNK,Light,76,90066,34.0016696,-118.4310061
12/31/2023,91411,2023,Battery Electric,OTHER/UNK,Light,82,91411,34.1785171,-118.4596299
12/31/2023,90056,2020,Battery Electric,OTHER/UNK,Light,21,90056,33.9935808,-118.3688386
12/31/2023,90404,2018,Battery Electric,OTHER/UNK,Light,14,90404,34.0266494,-118.473835
12/31/2023,90094,2018,Battery Electric,OTHER/UNK,Light,18,90094,33.9752679,-118.4182681
12/31/2023,90066,2021,Battery Electric,CHEVROLET,Light,12,90066,34.0016696,-118.4310061
12/31/2023,90025,2020,Battery Electric,OTHER/UNK,Light,33,90025,34.0455351,-118.4458117
12/31/2023,91602,2021,Battery Electric,OTHER/UNK,Light,38,91602,34.1508283,-118.3662569
12/31/2023,91201,2023,Battery Electric,OTHER/UNK,Light,72,91201,34.1703805,-118.2889622
12/31/2023,91030,2020,Battery Electric,CHEVROLET,Light,13,91030,34.1103024,-118.1574383
12/31/2023,90027,2021,Battery Electric,CHEVROLET,Light,11,90027,34.1251712,-118.2904963
12/31/2023,90247,2020,Battery Electric,OTHER/UNK,Light,8,90247,33.8915773,-118.2973475
12/31/2023,90201,2020,Battery Electric,OTHER/UNK,Light,5,90201,33.9711193,-118.1709231
12/31/2023,90302,2020,Battery Electric,OTHER/UNK,Light,11,90302,33.9747266,-118.3556587
12/31/2023,90232,2020,Battery Electric,OTHER/UNK,Light,13,90232,34.0186473,-118.3915775
12/31/2023,90064,2024,Battery Electric,OTHER/UNK,Light,24,90064,34.0358208,-118.4265006
12/31/2023,90049,2022,Battery Electric,OTHER/UNK,Light,107,90049,34.0874991,-118.4897746
12/31/2023,91744,2023,Battery Electric,OTHER/UNK,Light,76,91744,34.0291216,-117.9373459
12/31/2023,90717,2013,Battery Electric,OTHER/UNK,Light,4,90717,33.7934561,-118.3170541
12/31/2023,90808,2013,Battery Electric,OTHER/UNK,Light,14,90808,33.8240614,-118.1123209
12/31/2023,91801,2016,Battery Electric,OTHER/UNK,Light,16,91801,34.0909238,-118.127761
12/31/2023,90402,2013,Battery Electric,OTHER/UNK,Light,6,90402,34.0349647,-118.5046657
12/31/2023,91731,2014,Battery Electric,OTHER/UNK,Light,3,91731,34.0791547,-118.0404903
12/31/2023,91775,2015,Battery Electric,OTHER/UNK,Light,9,91775,34.1145148,-118.0894876
12/31/2023,90305,2016,Battery Electric,OTHER/UNK,Light,11,90305,33.9582989,-118.33112
12/31/2023,91010,2014,Battery Electric,OTHER/UNK,Light,3,91010,34.1411345,-117.9591773
12/31/2023,91204,2016,Battery Electric,OTHER/UNK,Light,5,91204,34.135557,-118.26094
12/31/2023,90232,2016,Battery Electric,OTHER/UNK,Light,24,90232,34.0186473,-118.3915775
12/31/2023,90041,2016,Battery Electric,OTHER/UNK,Light,14,90041,34.137546,-118.2074407
12/31/2023,91101,2016,Battery Electric,OTHER/UNK,Light,8,91101,34.1467715,-118.1389217
12/31/2023,91106,2023,Battery Electric,OTHER/UNK,Light,106,91106,34.1385709,-118.1282505
12/31/2023,90241,2022,Battery Electric,OTHER/UNK,Light,51,90241,33.9407201,-118.1295825
12/31/2023,90003,2020,Battery Electric,OTHER/UNK,Light,7,90003,33.9640773,-118.2736836
12/31/2023,90024,2018,Battery Electric,OTHER/UNK,Light,8,90024,34.0656447,-118.4352837
12/31/2023,91205,2018,Battery Electric,OTHER/UNK,Light,12,91205,34.1367762,-118.2433999
12/31/2023,90059,2020,Battery Electric,OTHER/UNK,Light,15,90059,33.927029,-118.2491105
12/31/2023,90248,2016,Battery Electric,OTHER/UNK,Light,11,90248,33.8768717,-118.2836579
12/31/2023,90221,2016,Battery Electric,OTHER/UNK,Light,6,90221,33.8854542,-118.2061709
12/31/2023,91105,2016,Battery Electric,OTHER/UNK,Light,11,91105,34.1404996,-118.1671245
12/31/2023,91803,2019,Battery Electric,OTHER/UNK,Light,10,91803,34.0748784,-118.1462429
12/31/2023,90069,2020,Battery Electric,OTHER/UNK,Light,17,90069,34.0939535,-118.3815305
12/31/2023,90631,2023,Battery Electric,VOLKSWAGEN,Light,11,90631,33.9426577,-117.9512598
12/31/2023,91506,2014,Battery Electric,OTHER/UNK,Light,8,91506,34.1713096,-118.3238268
12/31/2023,91107,2014,Battery Electric,OTHER/UNK,Light,14,91107,34.1592511,-118.0868585
12/31/2023,91011,2014,Battery Electric,OTHER/UNK,Light,2,91011,34.2175576,-118.2034276
12/31/2023,90025,2016,Battery Electric,OTHER/UNK,Light,20,90025,34.0455351,-118.4458117
12/31/2023,90038,2013,Battery Electric,OTHER/UNK,Light,3,90038,34.0887831,-118.3266674
12/31/2023,90254,2014,Battery Electric,OTHER/UNK,Light,6,90254,33.8648081,-118.3992715
12/31/2023,90022,2016,Battery Electric,OTHER/UNK,Light,5,90022,34.024529,-118.1560593
12/31/2023,90302,2016,Battery Electric,OTHER/UNK,Light,14,90302,33.9747266,-118.3556587
12/31/2023,90028,2014,Battery Electric,OTHER/UNK,Light,8,90028,34.0998114,-118.3268365
12/31/2023,90018,2015,Battery Electric,OTHER/UNK,Light,10,90018,34.028632,-118.3173467
12/31/2023,90017,2016,Battery Electric,OTHER/UNK,Light,9,90017,34.0530983,-118.2645052
12/31/2023,90603,2017,Battery Electric,OTHER/UNK,Light,18,90603,33.9448663,-117.9923377
12/31/2023,90242,2015,Battery Electric,OTHER/UNK,Light,9,90242,33.9220933,-118.1416696
12/31/2023,90016,2023,Battery Electric,OTHER/UNK,Light,84,90016,34.0287688,-118.3542922
12/31/2023,90254,2023,Battery Electric,FORD,Light,12,90254,33.8648081,-118.3992715
12/31/2023,91605,2023,Battery Electric,OTHER/UNK,Light,95,91605,34.2069664,-118.4006571
12/31/2023,91423,2022,Battery Electric,FORD,Light,19,91423,34.1491873,-118.4323795
12/31/2023,91423,2021,Battery Electric,FORD,Light,13,91423,34.1491873,-118.4323795
12/31/2023,90013,2023,Battery Electric,OTHER/UNK,Light,41,90013,34.0443117,-118.2400266
12/31/2023,91506,2024,Battery Electric,OTHER/UNK,Light,12,91506,34.1713096,-118.3238268
12/31/2023,90095,2018,Battery Electric,OTHER/UNK,Heavy,1,90095,34.0711826,-118.4434044
12/31/2023,91401,2023,Battery Electric,MERCEDES-BENZ,Light,121,91401,34.178044,-118.4318859
12/31/2023,91042,2023,Battery Electric,OTHER/UNK,Light,81,91042,34.306863,-118.2570043
12/31/2023,90270,2023,Battery Electric,OTHER/UNK,Light,18,90270,33.9885572,-118.187688
