Station Name,Address,Status,Waiting Time,Type,Coordinates,Charging Type,Power Level (kW)
"Shell - Greenwood, SC",3228 US-25,N/A,Unknown,N/A,"34.13853417668945, -82.13121362784486",N/A,150
Richmond Community College,1042 W Hamlet Ave,N/A,Unknown,N/A,"34.902852224750134, -79.71125827333924",N/A,150
Shell,2925 Narrow Paved Road,N/A,Unknown,N/A,"33.968532006106074, -80.04545027635909",N/A,150
The Inn at the Crossroads,128 W Main Street,N/A,Unknown,N/A,"33.87412619887124, -79.7552998100505",N/A,150
Comite Civico del Valle,235 Main Street,N/A,Unknown,N/A,"32.97899335131942, -115.53844425131359",N/A,180
Tesla Supercharger - Florin Town Center - Sacramento,6071 Florin Road,N/A,Unknown,N/A,"38.49642636262331, -121.43159284547673",N/A,325
Market Square at Arden Fair - Sacramento,1735 Arden Way,N/A,Unknown,N/A,"38.597460870053084, -121.42196824300697",N/A,350
"Ionna Rechargery Relay - Goodland, KS",2710 Commerce Road,N/A,Unknown,N/A,"39.32635900000025, -101.72670699999992",N/A,400
Boron Travel Stop,5852 CA-58,N/A,Unknown,N/A,"34.992387083464536, -117.54076618034145",N/A,200
Country Market,1631 S. Comanche Drive,N/A,Unknown,N/A,"35.34016706276604, -118.84278367046278",N/A,200
Castaic Town Center,27923 Sloan Canyon Road,N/A,Unknown,N/A,"34.495881662744, -118.62590990468692",N/A,200
Jack in the Box - Skycharger,73 Frazier Mountain Park Road,N/A,Unknown,N/A,"34.818293627961324, -118.88226842347609",N/A,200
Skycharger - Electric Era - Labec,Labec Road x Landfill Road,N/A,Unknown,N/A,"34.82380112806031, -118.87842964217847",N/A,200
Skycharger - Electric Era - Kettleman City,Bernard Dr and Powers Drive,N/A,Unknown,N/A,"35.98712411066941, -119.96286721735133",N/A,200
"Valero - Skycharger - Gustine, CA",12754 CA-33,N/A,Unknown,N/A,"37.104597857867034, -121.01520227620512",N/A,200
"Target - Skycharger - Stockton, CA",10424 Trinity Parkway,N/A,Unknown,N/A,"38.0519574856867, -121.37390710274917",N/A,200
"Shell - Skycharger - Lodi, CA",6437 W Banner St,N/A,Unknown,N/A,"38.114984, -121.394141",N/A,200
Buc-ee's Wharton,10484 US-59,N/A,Unknown,N/A,"29.32564972113903, -96.12266805136898",N/A,400
Hotel Nova - SFO,410 South Airport Boulevard,N/A,Unknown,N/A,"37.642403423206346, -122.40350615876116",N/A,120
"Circle K - Berea, KY",707 Chestnut Street,N/A,Unknown,N/A,"37.567762882969674, -84.3063031460672",N/A,180
BP Pulse,9150 Aviation Blvd,N/A,Unknown,N/A,"33.95289643289716, -118.37657037135756",N/A,N/A
Georgia Power - Americus,202b U.S. Hwy 19,N/A,Unknown,N/A,"32.06392892572525, -84.25304860290669",N/A,62
Hawkinsville City Hall,56 Broad Street,N/A,Unknown,N/A,"32.2824029999976, -83.46476299999767",N/A,62
GEORGIA POWER / Richland GA,26 Stewart Street,N/A,Unknown,N/A,"32.09036761630553, -84.6667086218339",N/A,62.5
"Allen Foodmart - Exxon - Wedowee, AL",1308 Main Street S,N/A,Unknown,N/A,"33.29357762562715, -85.47827818361208",N/A,80
MLIC-BLUE OAKS 915,915 Highland Pointe Drive,N/A,Unknown,N/A,"38.78429739017122, -121.28397801736389",N/A,19.2
MLIC-BLUE OAKS,925 Highland Pointe Drive,N/A,Unknown,N/A,"38.78404882954598, -121.28196772025439",N/A,19.2
Embassy Suites ,19525 Victor Parkway ,N/A,Unknown,N/A,"42.43093986125078, -83.4242923586132",N/A,60
Crowne Plaza - Lake Placid,101 Olympic Drive,N/A,Unknown,N/A,"44.28445990895344, -73.98751574892695",N/A,200
Cambria Hotel - Niagara Falls,311 Rainbow Blvd,N/A,Unknown,N/A,"43.08273774135395, -79.05920344864197",N/A,200
Marathon Commerce Market Spirits,519 W Commerce Rd,N/A,Unknown,N/A,"42.59089235729451, -83.48661256861095",N/A,180
Gateway Plaza,39010 Paseo Padre Pkwy,N/A,Unknown,N/A,"37.55283996698718, -121.9790903232084",N/A,350
"Target #1041 - Richmond, VA",11301 Midlothian Tpke,N/A,Unknown,N/A,"37.50415849614184, -77.60369851800704",N/A,350
Loughborough Commons,932 Loughborough Ave,N/A,Unknown,N/A,"38.554346760721955, -90.26376246747958",N/A,350
