Id,Coordinates,Power Level (kW),Chargers per Site,Cost
1,"42.97687881948349, -82.54211552237115",350,1 charger per site,"$65,984"
2,"42.97687881948349, -82.54211552237115",350,2 chargers per site,"$52,541"
3,"42.97687881948349, -82.54211552237115",350,3-5 chargers per site,"$39,097"
4,"42.97687881948349, -82.54211552237115",350,3-5 chargers per site,"$25,654"
5,"31.44784899516108, -96.07887683312913",350,1 charger per site,"$65,984"
6,"31.44784899516108, -96.07887683312913",350,2 chargers per site,"$52,541"
7,"31.44784899516108, -96.07887683312913",350,3-5 chargers per site,"$39,097"
8,"31.44784899516108, -96.07887683312913",350,3-5 chargers per site,"$25,654"
9,"42.976820619444226, -82.54242569368786",350,1 charger per site,"$65,984"
10,"42.976820619444226, -82.54242569368786",350,2 chargers per site,"$52,541"
11,"42.976820619444226, -82.54242569368786",350,3-5 chargers per site,"$39,097"
12,"42.976820619444226, -82.54242569368786",350,3-5 chargers per site,"$25,654"
13,"36.606331692036875, -77.56097255667575",350,1 charger per site,"$65,984"
14,"36.606331692036875, -77.56097255667575",350,2 chargers per site,"$52,541"
15,"36.606331692036875, -77.56097255667575",350,3-5 chargers per site,"$39,097"
16,"36.606331692036875, -77.56097255667575",350,3-5 chargers per site,"$25,654"
17,"37.474649248812696, -81.06773901885525",150,1 charger per site,"$47,781"
18,"37.474649248812696, -81.06773901885525",150,2 chargers per site,"$38,047"
19,"37.474649248812696, -81.06773901885525",150,3-5 chargers per site,"$28,312"
20,"37.474649248812696, -81.06773901885525",150,6-20 chargers per site,"$18,577"
21,"37.80278378709531, -81.21301328605483",150,1 charger per site,"$47,781"
22,"37.80278378709531, -81.21301328605483",150,2 chargers per site,"$38,047"
23,"37.80278378709531, -81.21301328605483",150,3-5 chargers per site,"$28,312"
24,"37.80278378709531, -81.21301328605483",150,6-20 chargers per site,"$18,577"
25,"41.86328695566951, -88.19591539291429",150,1 charger per site,"$47,781"
26,"41.86328695566951, -88.19591539291429",150,2 chargers per site,"$38,047"
27,"41.86328695566951, -88.19591539291429",150,3-5 chargers per site,"$28,312"
28,"41.86328695566951, -88.19591539291429",150,6-20 chargers per site,"$18,577"
29,"41.94139, -88.00939",150,1 charger per site,"$47,781"
30,"41.94139, -88.00939",150,2 chargers per site,"$38,047"
31,"41.94139, -88.00939",150,3-5 chargers per site,"$28,312"
32,"41.94139, -88.00939",150,6-20 chargers per site,"$18,577"
33,"41.988605, -87.939854",150,1 charger per site,"$47,781"
34,"41.988605, -87.939854",150,2 chargers per site,"$38,047"
35,"41.988605, -87.939854",150,3-5 chargers per site,"$28,312"
36,"41.988605, -87.939854",150,6-20 chargers per site,"$18,577"
37,"42.342611000352036, -88.23895674760422",150,1 charger per site,"$47,781"
38,"42.342611000352036, -88.23895674760422",150,2 chargers per site,"$38,047"
39,"42.342611000352036, -88.23895674760422",150,3-5 chargers per site,"$28,312"
40,"42.342611000352036, -88.23895674760422",150,6-20 chargers per site,"$18,577"
41,"42.214787733373356, -88.28739515356922",150,1 charger per site,"$47,781"
42,"42.214787733373356, -88.28739515356922",150,2 chargers per site,"$38,047"
43,"42.214787733373356, -88.28739515356922",150,3-5 chargers per site,"$28,312"
44,"42.214787733373356, -88.28739515356922",150,6-20 chargers per site,"$18,577"
45,"42.17516751694956, -88.329960670687",150,1 charger per site,"$47,781"
46,"42.17516751694956, -88.329960670687",150,2 chargers per site,"$38,047"
47,"42.17516751694956, -88.329960670687",150,3-5 chargers per site,"$28,312"
48,"42.17516751694956, -88.329960670687",150,6-20 chargers per site,"$18,577"
49,"41.80675462931114, -88.28056519916004",150,1 charger per site,"$47,781"
50,"41.80675462931114, -88.28056519916004",150,2 chargers per site,"$38,047"
51,"41.80675462931114, -88.28056519916004",150,3-5 chargers per site,"$28,312"
52,"41.80675462931114, -88.28056519916004",150,6-20 chargers per site,"$18,577"
53,"41.78387348078061, -87.80198574424912",150,1 charger per site,"$47,781"
54,"41.78387348078061, -87.80198574424912",150,2 chargers per site,"$38,047"
55,"41.78387348078061, -87.80198574424912",150,3-5 chargers per site,"$28,312"
56,"41.78387348078061, -87.80198574424912",150,6-20 chargers per site,"$18,577"
57,"38.20894843400049, -85.66873604835689",150,1 charger per site,"$47,781"
58,"38.20894843400049, -85.66873604835689",150,2 chargers per site,"$38,047"
59,"38.20894843400049, -85.66873604835689",150,3-5 chargers per site,"$28,312"
60,"38.20894843400049, -85.66873604835689",150,6-20 chargers per site,"$18,577"
61,"38.23924219818619, -85.48760433371751",150,1 charger per site,"$47,781"
62,"38.23924219818619, -85.48760433371751",150,2 chargers per site,"$38,047"
63,"38.23924219818619, -85.48760433371751",150,3-5 chargers per site,"$28,312"
64,"38.23924219818619, -85.48760433371751",150,6-20 chargers per site,"$18,577"
65,"40.8611490891324, -81.43317895040481",350,1 charger per site,"$65,984"
66,"40.8611490891324, -81.43317895040481",350,2 chargers per site,"$52,541"
67,"40.8611490891324, -81.43317895040481",350,3-5 chargers per site,"$39,097"
68,"40.8611490891324, -81.43317895040481",350,3-5 chargers per site,"$25,654"
69,"39.71640509517829, -104.95042511447662",350,1 charger per site,"$65,984"
70,"39.71640509517829, -104.95042511447662",350,2 chargers per site,"$52,541"
71,"39.71640509517829, -104.95042511447662",350,3-5 chargers per site,"$39,097"
72,"39.71640509517829, -104.95042511447662",350,3-5 chargers per site,"$25,654"
73,"38.24201366280781, -85.5092603527977",150,1 charger per site,"$47,781"
74,"38.24201366280781, -85.5092603527977",150,2 chargers per site,"$38,047"
75,"38.24201366280781, -85.5092603527977",150,3-5 chargers per site,"$28,312"
76,"38.24201366280781, -85.5092603527977",150,6-20 chargers per site,"$18,577"
77,"38.30806632279362, -85.84205293957926",150,1 charger per site,"$47,781"
78,"38.30806632279362, -85.84205293957926",150,2 chargers per site,"$38,047"
79,"38.30806632279362, -85.84205293957926",150,3-5 chargers per site,"$28,312"
80,"38.30806632279362, -85.84205293957926",150,6-20 chargers per site,"$18,577"
81,"36.16679, -86.66245",150,1 charger per site,"$47,781"
82,"36.16679, -86.66245",150,2 chargers per site,"$38,047"
83,"36.16679, -86.66245",150,3-5 chargers per site,"$28,312"
84,"36.16679, -86.66245",150,6-20 chargers per site,"$18,577"
85,"37.13862800000051, -77.35567499999993",150,1 charger per site,"$47,781"
86,"37.13862800000051, -77.35567499999993",150,2 chargers per site,"$38,047"
87,"37.13862800000051, -77.35567499999993",150,3-5 chargers per site,"$28,312"
88,"37.13862800000051, -77.35567499999993",150,6-20 chargers per site,"$18,577"
89,"40.462954413047584, -76.33915843095373",350,1 charger per site,"$65,984"
90,"40.462954413047584, -76.33915843095373",350,2 chargers per site,"$52,541"
91,"40.462954413047584, -76.33915843095373",350,3-5 chargers per site,"$39,097"
92,"40.462954413047584, -76.33915843095373",350,3-5 chargers per site,"$25,654"
93,"37.999984307714, -121.84195189328751",350,1 charger per site,"$65,984"
94,"37.999984307714, -121.84195189328751",350,2 chargers per site,"$52,541"
95,"37.999984307714, -121.84195189328751",350,3-5 chargers per site,"$39,097"
96,"37.999984307714, -121.84195189328751",350,3-5 chargers per site,"$25,654"
97,"46.86308490841648, -96.87991539265829",350,1 charger per site,"$65,984"
98,"46.86308490841648, -96.87991539265829",350,2 chargers per site,"$52,541"
99,"46.86308490841648, -96.87991539265829",350,3-5 chargers per site,"$39,097"
100,"46.86308490841648, -96.87991539265829",350,3-5 chargers per site,"$25,654"
101,"40.751031106221916, -88.00091942984145",350,1 charger per site,"$65,984"
102,"40.751031106221916, -88.00091942984145",350,2 chargers per site,"$52,541"
103,"40.751031106221916, -88.00091942984145",350,3-5 chargers per site,"$39,097"
104,"40.751031106221916, -88.00091942984145",350,3-5 chargers per site,"$25,654"
105,"41.96314151282516, -112.710093505426",350,1 charger per site,"$65,984"
