Station Name,Address,Status,Waiting Time,Coordinates,Charging Type,Power Level (kW),Chargers per Site,Labor,Materials,Permit,Taxes,Total
Market Square at Arden Fair - Sacramento,1735 Arden Way,,Unknown,"38.597460870053084, -121.42196824300697",,350.0,1 charger per site,"$27,840","$37,700",$290,$154,"$65,984"
Market Square at Arden Fair - Sacramento,1735 Arden Way,,Unknown,"38.597460870053084, -121.42196824300697",,350.0,2 chargers per site,"$22,040","$30,160",$218,$123,"$52,541"
Market Square at Arden Fair - Sacramento,1735 Arden Way,,Unknown,"38.597460870053084, -121.42196824300697",,350.0,3-5 chargers per site,"$16,240","$22,620",$145,$92,"$39,097"
Market Square at Arden Fair - Sacramento,1735 Arden Way,,Unknown,"38.597460870053084, -121.42196824300697",,350.0,3-5 chargers per site,"$10,440","$15,080",$73,$62,"$25,654"
Gateway Plaza,39010 Paseo Padre Pkwy,,Unknown,"37.55283996698718, -121.9790903232084",,350.0,1 charger per site,"$27,840","$37,700",$290,$154,"$65,984"
Gateway Plaza,39010 Paseo Padre Pkwy,,Unknown,"37.55283996698718, -121.9790903232084",,350.0,2 chargers per site,"$22,040","$30,160",$218,$123,"$52,541"
Gateway Plaza,39010 Paseo Padre Pkwy,,Unknown,"37.55283996698718, -121.9790903232084",,350.0,3-5 chargers per site,"$16,240","$22,620",$145,$92,"$39,097"
Gateway Plaza,39010 Paseo Padre Pkwy,,Unknown,"37.55283996698718, -121.9790903232084",,350.0,3-5 chargers per site,"$10,440","$15,080",$73,$62,"$25,654"
Chesterfield Crossing,11301 Midlothian Tpke,,Unknown,"37.50415849614184, -77.60369851800704",,350.0,1 charger per site,"$27,840","$37,700",$290,$154,"$65,984"
Chesterfield Crossing,11301 Midlothian Tpke,,Unknown,"37.50415849614184, -77.60369851800704",,350.0,2 chargers per site,"$22,040","$30,160",$218,$123,"$52,541"
Chesterfield Crossing,11301 Midlothian Tpke,,Unknown,"37.50415849614184, -77.60369851800704",,350.0,3-5 chargers per site,"$16,240","$22,620",$145,$92,"$39,097"
Chesterfield Crossing,11301 Midlothian Tpke,,Unknown,"37.50415849614184, -77.60369851800704",,350.0,3-5 chargers per site,"$10,440","$15,080",$73,$62,"$25,654"
Loughborough Commons,932 Loughborough Ave,,Unknown,"38.554346760721955, -90.26376246747958",,350.0,1 charger per site,"$27,840","$37,700",$290,$154,"$65,984"
Loughborough Commons,932 Loughborough Ave,,Unknown,"38.554346760721955, -90.26376246747958",,350.0,2 chargers per site,"$22,040","$30,160",$218,$123,"$52,541"
Loughborough Commons,932 Loughborough Ave,,Unknown,"38.554346760721955, -90.26376246747958",,350.0,3-5 chargers per site,"$16,240","$22,620",$145,$92,"$39,097"
Loughborough Commons,932 Loughborough Ave,,Unknown,"38.554346760721955, -90.26376246747958",,350.0,3-5 chargers per site,"$10,440","$15,080",$73,$62,"$25,654"
Shops at Kendall,9001 SW 127th Ave.,,Unknown,"25.685233380708667, -80.39895533986856",,350.0,1 charger per site,"$27,840","$37,700",$290,$154,"$65,984"
Shops at Kendall,9001 SW 127th Ave.,,Unknown,"25.685233380708667, -80.39895533986856",,350.0,2 chargers per site,"$22,040","$30,160",$218,$123,"$52,541"
Shops at Kendall,9001 SW 127th Ave.,,Unknown,"25.685233380708667, -80.39895533986856",,350.0,3-5 chargers per site,"$16,240","$22,620",$145,$92,"$39,097"
Shops at Kendall,9001 SW 127th Ave.,,Unknown,"25.685233380708667, -80.39895533986856",,350.0,3-5 chargers per site,"$10,440","$15,080",$73,$62,"$25,654"
The Shops at La Jolla Village,8801 Villa La Jolla Dr,,Unknown,"32.86959694815948, -117.23104041764023",,350.0,1 charger per site,"$27,840","$37,700",$290,$154,"$65,984"
The Shops at La Jolla Village,8801 Villa La Jolla Dr,,Unknown,"32.86959694815948, -117.23104041764023",,350.0,2 chargers per site,"$22,040","$30,160",$218,$123,"$52,541"
The Shops at La Jolla Village,8801 Villa La Jolla Dr,,Unknown,"32.86959694815948, -117.23104041764023",,350.0,3-5 chargers per site,"$16,240","$22,620",$145,$92,"$39,097"
The Shops at La Jolla Village,8801 Villa La Jolla Dr,,Unknown,"32.86959694815948, -117.23104041764023",,350.0,3-5 chargers per site,"$10,440","$15,080",$73,$62,"$25,654"
"Jack London Gateway - Oakland, CA",900 Market Street,,Unknown,"37.8036797096042, -122.28230705392025",,350.0,1 charger per site,"$27,840","$37,700",$290,$154,"$65,984"
"Jack London Gateway - Oakland, CA",900 Market Street,,Unknown,"37.8036797096042, -122.28230705392025",,350.0,2 chargers per site,"$22,040","$30,160",$218,$123,"$52,541"
"Jack London Gateway - Oakland, CA",900 Market Street,,Unknown,"37.8036797096042, -122.28230705392025",,350.0,3-5 chargers per site,"$16,240","$22,620",$145,$92,"$39,097"
